Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
K7C53836	Pronta x consegna	STELVIO	25/02/2020	04/05/2020	Rafael	Ferraguti			MODANATURA PORTA POST LATO SX										Enrico Modena
KPJ57324	In rientro	RENEGADE	29/01/2020		Ciro	La Pesa	X Car		PARABREZZA										Tetto e un montante
KPJ44508	In rientro	RENEGADE	29/01/2020		Damiani	La Pesa	Eurocar		FRECCIA SX	PARABREZZA	3° STOP								Solo tetto + 
KPK23144	In rientro	RENEGADE	10/02/2020		Damiani	La Pesa	X Car		3° STOP	PARABREZZA	CATADIOTTRO ANT DX								
KPK20700	In rientro	RENEGADE	19/02/2020		Leo	La Pesa	X Car		RASAVETRO ANT + POST SX										
KT724923	IC–INCarrozzeria	COMPASS	18/02/2020		Costantino	Lucca Car			MOD lato Sx  ANT/POST/PARAFANGO POST	MOD COFANO POST	PARABREZZA	FANALE ANT. DX	FANALE POST DX (PA)						
K7C62244	FA-Fatturato	STELVIO	21/10/2019	12/11/2019	Benvenuti	Luna													
KPJ12995	FA-Fatturato	RENEGADE	10/11/2019	17/12/2019	Benvenuti	Luna			PARABREZZA										
KPJ69477	FA-Fatturato	RENEGADE	10/11/2019	17/12/2019	Benvenuti	Luna			PARABREZZA	freccia sx									
KT631281	FA-Fatturato	COMPASS	21/10/2019	12/11/2019	Benvenuti	Luna			MOD LATO SX  P/PA	MOD COFANO POST	MOD LATO DX  P/PA	3° STOP							
KPK48636	FA-Fatturato	RENEGADE	10/12/2019	29/01/2020	Ciro	Luna	Eurocar		CALOTTA  SX	FANALE POST SX									
K7C47814	FA-Fatturato	STELVIO	10/12/2019	29/01/2020	Costantino	Luna			PARABREZZA	RASAVETRO MOD ANTERIORE DX (ALLUMINIO	RASAVETRO MOD POSTERIORE SX (ALLUMINIO)								
K7C41328	FA-Fatturato	STELVIO	10/12/2019	21/01/2020	Roberto	Luna			PARABREZZA	CALOTTA  SX									
K7C47527	FA-Fatturato	STELVIO	10/12/2019	13/02/2020	Roberto	Luna			PARABREZZA										
KPJ37640	FA-Fatturato	RENEGADE	07/01/2020	08/02/2020	Roberto	Luna													
KPJ18463	FA-Fatturato	RENEGADE	10/11/2019	17/02/2020	Benvenuti	New Mercury			3° stop	freccia sx									
KPJ28095	FA-Fatturato	RENEGADE	11/12/2019	28/01/2020	Ciro	New Mercury				RASAVETRO ant sinistro	RASAVETRO post sinistro								
KT642108	FA-Fatturato	COMPASS	10/01/2020	17/02/2020	Ciro	New Mercury			FARO POST. SX (PA)	MOD lato sx  ANT/POST/PARAFANGO POST	BARRA CORRIMANO SX								
J7578384	IC–INCarrozzeria	GIULIA	05/02/2020		Ciro	New Mercury			PARABREZZA	SPORTELLO CARBURANTE	TAPPO BENZINA	FANALE POST SX (PA)							
KPJ57641	Pronta x consegna	RENEGADE	17/02/2020		Ciro	New Mercury	X Car		3° STOP										
KPJ20095	FA-Fatturato	RENEGADE	11/12/2019	24/02/2020	Costantino	New Mercury	Luna		3° STOP	vetro fisso ppowsterire dx									
KPK09588	FA-Fatturato	RENEGADE	11/12/2019	28/01/2020	Costantino	New Mercury			FANALE POST SX COMPLETO	3° STOP	RASAVETRO anteriore sinistro	RASAVETRO porta post sinistra							
KPK46714	FA-Fatturato	RENEGADE	11/12/2019	24/01/2020	Costantino	New Mercury			RASAVETRO EST ANTERIORE DESTRO										
KPJ70222	FA-Fatturato	RENEGADE	08/01/2020	15/02/2020	Costantino	New Mercury			VETRO FISSO POST DX										
KC686546	PF–Preparazionefinale	GRAND CHEROKE	28/01/2020		Costantino	New Mercury			MOD LATO DX MOD. INF. ANT/POST	tutte le MOD LATO DX INF+SUP. porte e PARAFANGO	Entrambi i montantini in plastica delle porta post dx	Calandra tra parabrezza e cofano							Vetro post dx con cromatura da incollare, coprimontante ant della porta post dx arrivato sbagliato
K7595277	Pronta x consegna	GIULIA	05/02/2020		Costantino	New Mercury			MOD LATO DX NERE (TUTTE) ANT/POST SUP e RASAVETRO inferiori	Cornice tra deflettore e vetro fisso	Fanale Post SX								CORNICE POST DX
KPJ42245	Pronta x consegna	RENEGADE	09/01/2020		Costantino	New Mercury			VETRINO SPECCHIO RETROVISORE SX	TERZO STOP 									
K7C46175	FA-Fatturato	STELVIO	12/02/2020	04/05/2020	Damiani	New Mercury		TCA	PARABREZZA	MOD LATO SX MOD.  ANT/POST	RASAVETRO ANT E POST SX	VETRO SPECCHIO DX							
